word,meaning
tapak,Protect; tree whose leaves are eaten boiled with fish; receive an affirmative answer (especially in courting). tinangoq; tangoq; bronze; copper; grow dingy; rusty; fragment; barefoot; sole of foot; footprint; shoe
tapang,Brave!
tapangku,Eaves; roof overhang
tapaq,See dictionary entry
tapayan,Large clay jars used for storage. sungsung
tapil,Shovel; syn. tapil
tapun,See dictionary entry
taq,Ataq; (expecting yes)
tara,Kind of shovel with wooden handleabout 20 high with squat flat bladeused for taking soil from fishpond bottoms in square chunks; cork; Lets go!
taram,Sharp. taranatiq/ter natiq
taranta,See dictionary entry
tarat,See dictionary entry
tariq,See dictionary entry
taruk,Explore
tarundung,See dictionary entry
taruq,Fruit; sweet variety of balimbing; confused; tarantadu one who is such; 20 centavo coin; kind of bird; sparrow; blade; spur attached to the leg of fighting cock; explore; (N./V.); mockery; sarcasm
tas,High; tall; deep; fancy; raise something; have confidence in
tasa,See dictionary entry
tasan,See dictionary entry
tata,See dictionary entry
tatap,Term of address tatang; thresh; tatatap
tau/tahu,Celebrate; put on spread of food; banquet; light fire. aflame
tauliq,Last; ultimate
tawad,/- yawad
taya,See dictionary entry
tayi,Something; the in games; the one jumped over in leapfrog; taiq
tegawan,Godfather; sponsor; ninong
teknikal,See dictionary entry
tela,Cloth
telabanwa,Roof of mouth; name of barrio San Fernando and Angeles
telabulan,White; area at base of fingernails
telasukli,Mons veneris. telataung-
telekwad,Colored of the eye; lame; limping. tetelekwad
temyong,Nickname; for
tenggan,Type of soil
tengkwad,See dictionary entry
terak,Dance. teterak; tumerak; dance
ternu,Dance. teterak; tumerak; dance; compatible; complementary (as; skirt and blouse of or coordinated colors; foods which go well together)
tete,Bridge
teybal,See dictionary entry
tibag,Crumbling; breaking up; tibag
tibaktibak,See dictionary entry
tibaq,Sit out dance; be wallflower. (Eng. table); (one of bunch). titibaq; tibaq
tibe,Sturdy; durable
tibuwan,Native land.. labuad
tigim,See dictionary entry
tigsaq,See dictionary entry
tigtig,Clear ones throat. titigim; tinigim; boil; wound; play titigtig
tikal,(D./V./.) numb; cramped; stiff. tikal
tikbalang,Spirits. tikdo(q)
tikmus,Sliver; splinter; tikmus
tikta,See dictionary entry
tilaw,Stand up. titikdo; tinikdo; sliver; slenderize. (N./Q.) very; excess; titilaw crow
tilbug,See dictionary entry
tilis,See dictionary entry
tiltil,Sososo; sinoso
tilus,See dictionary entry
timan,Loose bowel movement; dip into. soso titiltil; sauce for dipping; pointed; sharp; smile
timbabalak,Monitor lizard
timbang,Weight; balance. The Southern Cross
timbaq,See dictionary entry
timbuq,Tall grass seen along river banks
timid,Press down on something. tinimid
timpuq,(V./D./.) squat. in squatting position
timug,Southwest monsoon wind
timulin,Rudder. timuleru
tinalage,The rice plant
tinap,See dictionary entry
tinape,Bread. tinahero/ tinayero; Tinajero; barrio of Bacolor; expected; anticipated
tinda,Dream; see ninap; sell; store. business
tindaragul,See dictionary entry
tingaq,Dish of food. tinolang; tinolang; of food which adhere to teeth. toothpick
tingbu,Soft broom
tinggaputi,See dictionary entry
tinggaq,Earrings once sign of slavery
tingiq,Whine. titingiq
tingting,Ribs; made into brooms; go down. tinipa; chunk; hunk; be thrifty; economy; thrift; budget; expenses; strip off of sugar cane; what is left in the fields after such work; gather; collect; accumulate; depot; assembly; rub feet together nervously. titiristiris; tease; something used to tease hair; chalk; tile. tisa: ubung roof tiles
tinidur,See dictionary entry
tinola,See dictionary entry
tinta,See dictionary entry
tipa,See dictionary entry
tipak,See dictionary entry
tipid,See dictionary entry
tiplaq,See dictionary entry
tipun,Gather; collect; accumulate; depot; assembly
tiran,See dictionary entry
tiris,See dictionary entry
tis,See dictionary entry
tisaq,Believe
tiyan,See dictionary entry
tiyobibo,-round
tong,Tune; protection money
tono,See dictionary entry
tornilyo,See dictionary entry
torno,Threaded; torno have something threaded (as screw)
trangkasu,See dictionary entry
transleyt,Atransleyt
trapik,Traffic; caught in traffic
tratus,Betrothed
traysikal,Motorized motorcycle with sidecar for hire; also jokingly called taksikal; ride; hire
treskantos,Triangleone type of
trianggulo,Cloth or triangle on which is some Latin or words; used as tropa/turopa; stacks of rice; cut but not yet threshed; stacking cut rice
tropik,See dictionary entry
tua,Snack; like or cropec; but made from rice; old age. ding the old folks; aged; ripe; -dayaq older than an aunt
tubaq,Tuba; fermented coconut wine or sugar cane wine
tubo,Chimney glass (of lamp)
tubud,Grow; gain; profit. tutubuq; tinubu; tumubuq; delegate; send on an errand.. lakad
tubuq,See dictionary entry
tud,Knee. apung tud great grandson
tud/tuqud,See dictionary entry
tudtud,See dictionary entry
tugak,Frog; Types of frog: tugak batan; tugak saba; tugak tutuq
tuglung,See dictionary entry
tugtug,Bill; beak (of bird); clitoris; knock; tuktuk about to know; cane; prop; support (e.g. to hold window open); pole for riverboat; put up posts; use cane; childrens game like bluff; knee. apung tud great grandson. (V././D.) correct; straight; right; win. tutud; tinud; timud; turan; sleep; sleepy; put someone to sleep; place to sleep; frog; Types of frog: tugak batan; tugak saba; tugak tutuq; join; put together; pour water; sprinkle the ground (to down the dust); dinat! Flush the toilet!; nugtug one who sprinkles
tukayu,Person with same name as yours; namesake
tuki,See dictionary entry
tukil,Container made of node of bamboo. tukin asin salt container; tukil bamboo cannon
tuklas,Discover; detect; explore. tutuklas; tiklas; tinuklas
tuklip,Fold; tuklip; tiklip
tukluq,See dictionary entry
tuknang,Follow; accompany. tutuki; tiki; container made of node of bamboo. tukin asin salt container; tukil bamboo cannon; discover; detect; explore. tutuklas; tiklas; tinuklas; fold; tuklip; tiklip. (./D./V.) step just around the corner (near in time). (N./V.) one who tramples; stop; desist; dwell; reside. tuknang; tutuknang; tiknang; tinuknang; residence; dwelling
tuksu,See dictionary entry
tuktuk,Bill; beak (of bird); clitoris; knock; tuktuk about to know
tukud,See dictionary entry
tul,See dictionary entry
tulak,Cotton; push; shove; depart. tutulak; tinulak. tula(q)
tulang,Needle. kind of dragonfly
tulaq,See dictionary entry
tulauk,Titilaw crow
tulduq,Point the way
tulid,Rights
tulin,See dictionary entry
tuling,Cheer someone; poem. (V./.) tinulaq; set in harmony; crow (of roosters); tutulanuk; dragonfly; Types: tulang dapu; tulang bale; tulang damulag; tulang; tulang bitin. small airplanes of the Club type; point out; point teach; tutuldu; tildu; go straight. tutulid; nulid go in straight line (as; from house to house); straight; erect; correct; opposite; directly across rights; discussion to set things straight; shortcut; the straight; direct way; verbal contest; circumcision; tinuli; fast; black; dark; become dark; tan oneself; something; tutuling
tuliq,See dictionary entry
tuliru,Tuliru groggy; dazed; triangle; trianggulo
tulud,Tulu(q)
tuluk,Earwax; secretion of ear
tulukab,See dictionary entry
tulus,Upright; tulus something stuck upright in the ground
tumayla,See dictionary entry
tumbuk,Furled leaf; drop; flow; spill; pour. tutuluq; tumuluq; tinuluq; spilling; outpouring. sometimes used as veiled reference to venereal disease; upright; tulus something stuck upright in the ground; lullaby; boxing; blow of fist. boxing; tumbuk; tutumbuk; tinumbuk
tumpak,Next to each other
tun,Genuine; true; certainly; attest; prove. tunen; tune
tundun,Nape of neck
tunduq,Cook rice. tumun; drowsy; sleepy; something to people awake
tune,Genuine; true; certainly; attest; prove. tunen; tune
tung,See dictionary entry
tungkul,See dictionary entry
tungkuq,See dictionary entry
tuntun,Point the way
tunud,See dictionary entry
tupad,Be quiet; harmless; tutunud; each; every. tung aldo every day; -tunggal. (N./D./Q.) -one; tripod; three stones placed in triangle to place pot used to refer to three people squatting and talking; about; concerning; duty; obligation; equal; comply; fulfil; tupad
turan,Struck.. tud; turan
turil,Clitoris; tuktuk
turing,Bid. tuturing; tumuring; tinuring; turing
turuq,Bid. tuturing; tumuring; tinuring; turing; teach; educate; tumuruq; tuturu; tiruq; talaturuq faculty; coach; teacher. tiruq thing taught; teaching; turuq finger
tustus,See dictionary entry
tusuk,Stick into; as: ones nose; tinusuk; atusuk; fork
tutuk,Tutu(q)
tutul,See dictionary entry
tuwa,See dictionary entry
tuyaq,See dictionary entry
tuyuq,Seduce; dry something by the fire; stop or prevent fight by teasing; stick into; as: ones nose; tinusuk; atusuk; fork; (V./D./.) aimed; lined up true; real. true frog; fact; resist; talk back; sass. tututul; tinutul; chide; tease. tutuyaq. dry (in the sun)
tyune,Sliver; splinter; tikmus
tyuntyunan,Some sort of guide; Note: has not yet been positively as separate distinctive sound; yet prove to be combination of with or and/or of with /tia; tya (?prefix?) in lots in lots of five; - how each?
ubas,Grape(s)
ubat,Sulfur
ubi,Fruit
ubingan,See dictionary entry
ubu,See dictionary entry
ubug,Shape; form
udas,Judas. 13th day of the month
ugaliq,Character; habits; custom; demeanor
ugaq,Nickname; black fellow; from balugaq
ugat,Veins; arteries
ugit,Handle of plow. ugne/ ugnay-
ugse,See dictionary entry
ugtu,See dictionary entry
uktubre,October. ukyat/ qukyat; climb; ascend; ukyat
ukyat,Climb; ascend
ula,Relative; relation; relationship; throw away; balugse; noon. ugtung aldo; pagtwan/paqugtuqan lunch; eat lunch; guess.. aul ulan
ulad,See dictionary entry
ulam,Viand; vegetable or food eaten with rice (side dish)
ulap,Fog. ulas/ulnas; blanket
uldug,Big fellow who is stubborn or stupid
uling,Charcoal
uliq,Go home
uliran,Model; exemplar
ulit,(Combiner) because; anyaq; repeat
ulnan,Cushion; ulsera/ orsera; ulcer or skin); curer; uluan cure; July; uman
ulobyas,Plant
ulu,See dictionary entry
ulyo,See dictionary entry
uma,See dictionary entry
umal,Gaping; umpisa/ qumpisa; begin
umpukan,Talking group
una/quna,(D./V./N.) first; go first; be first
unyabyan,Wash rice by swirling in water
unyat,Stretch; yawn
unyu,June. ungut/ ngungut; coconut. coconut grove; plantation
upa,Fare; rent; compensation; upaan; forgive; overlook. nupaya; apology. uran/quran; rain; rainy season
uriq,Class; category; kind. examination; urian
uriya,End of roll of cloth
uru,EXCL. (anger
urud,Hair cut; sapitu
usa,See dictionary entry
usbung,Sucker (of banana); one section of bamboo from joint to joint
usig,Go with (the wind)
ustu,Correct; enough; sufficient; EXCL. (ustu )
usu,See dictionary entry
usuq,See dictionary entry
ut,See dictionary entry
utak,Seed; stone; bone. size of seed; utak ning butul bone; having seed(s)
utang,Nipple of breast
uwa/ua,Thirsty
uyab,Yawn; belch
uyat,Veins; blood vessels
wa,See dictionary entry
wagas,Sincere; pure
wagwag,Valued variety of rice
wakas,Termination. wakaspaldas taking off of signs of mourning
wali,Younger sibling
walu,Labingwalu 18. walungpuluq 80
wanan,Right side
waning,Nickname for Juan. wang/ uang
wapin,Wari(q); coconut beetle. yes; possibly. nung wariq pretend
watiwat,Spouse (joking; slang)
wawaq,Mouth of river; confluence; old name of Guagua
webis,Thursday
welding,Weld something
wes,Judge. -pas justice of the civil wedding
weting,Gambling game
wisdamtit,Wisdom teeth
y,Fish. viand; food eaten with rice; asan; as: nanung? What did you eat with your rice?
ya,-salol no (alinku?; or?). Substitute: the same
yabyan,See dictionary entry
yaga,One who gets along with others; is friendly; is good
yakap,See dictionary entry
yantuk,Yangkaq/ angkaq
yap,Nanca fruit; breadfruit; good
yapsa,Spit out
yapus,See dictionary entry
yariq,Ari/yari/ yariq
yata,Finished; ataq; (expecting yes)
yatuq,Earth; world; gabun
yawa,Contagious
yawig,See dictionary entry
ye,Substitute: pontmanteau. ( )
ye:ta,See dictionary entry
yelu/elu,Make
yemuk,Having mosquitoes; amuk
yeru,See dictionary entry
yilo,See dictionary entry
yu,(D./V./.) shade ones face from the sun. Substitute: ning/king case form Substitute: form of which occurs with ala and tia
yubu,Beloved
yumu,See dictionary entry
yuyut,Sweet. dessert; tumbling; falling into temptation
